IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|5587|5587|36x12|36|12|432|SIL/BLUE|GUIDE|ARROW UP FOR VISITOR INFO||Y|5587
SIGN|S|24-MAR-2015|65-51-000|405163|11x15|11|15|165|SIL/RED|GUIDE|FIRE EXTINGUISHER||Y|5163
SIGN|S|24-MAR-2015|CM4-10LT-18|405265|48x18|48|18|864|BLK/OR|CNSTRC|DETOUR WITHIN THE ARROW LEFT||Y|5265
SIGN|S|24-MAR-2015|CM4-10RT-18|405266|48x18|48|18|864|BLK/OR|CNSTRC|DETOUR WITHIN THE ARROW RIGHT||Y|5266
SIGN|S|24-MAR-2015|CM4-9LT-24|405263|30x24|30|24|720|BLK/OR|CNSTRC|DETOUR W/ L ARROW||Y|5263
SIGN|S|24-MAR-2015|CM4-9RT-24|405264|30x24|30|24|720|BLK/OR|CNSTRC|DETOUR W/ R ARROW||Y|5264
SIGN|S|24-MAR-2015|COW15-1-48|405737|48x48|48|48|2304|BLK/OR|CNSTRC|SLOW||Y|5737
SIGN|S|24-MAR-2015|COW15-4-30|COW15-4|30x30|30|30|900|BLK/OR|CNSTRC|TRUCKS||Y|
SIGN|S|24-MAR-2015|COW21-7-36|405795|36x36|36|36|1296|BLK/OR|CNSTRC|ABRUPT EDGE||Y|5795
SIGN|S|24-MAR-2015|CW20-10-36|CW20-10|36x36|36|36|1296|BLK/OR|CNSTRC|TRAFFIC CONTROL CHANGE AHEAD||Y|
SIGN|S|24-MAR-2015|CW20-1-36|405763|36x36|36|36|1296|BLK/OR|CNSTRC|ROAD CONSTRUCTION AHEAD||Y|5763
SIGN|S|24-MAR-2015|CW20-1-48|CW20-1|48x48|48|48|2304|BLK/OR|CNSTRC|ROAD CONSTRUCTION AHEAD||Y|
SIGN|S|24-MAR-2015|CW20-2-36|405765|36x36|36|36|1296|BLK/OR|CNSTRC|DETOUR AHEAD||Y|5765
SIGN|S|24-MAR-2015|CW20-2-48|405766|48x48|48|48|2304|BLK/OR|CNSTRC|DETOUR AHEAD||Y|5766
SIGN|S|24-MAR-2015|CW20-3-36|CW20-3|36x36|36|36|1296|BLK/OR|CNSTRC|ROAD CLOSED||Y|
SIGN|S|24-MAR-2015|CW20-3-48|CW20-3|48x48|48|48|2304|BLK/OR|CNSTRC|ROAD CLOSED||Y|
SIGN|S|24-MAR-2015|CW20-4-36|405786|36x36|36|36|1296|BLK/OR|CNSTRC|ONE LANE ROAD AHEAD||Y|5786
SIGN|S|24-MAR-2015|CW20-4-48|CW-20|48x48|48|48|2304|BLK/OR|CNSTRC|ONE LANE ROAD AHEAD||Y|
SIGN|S|24-MAR-2015|CW20-5L-36|405803|36x36|36|36|1296|BLK/OR|CNSTRC|LEFT LANE CLOSED AHEAD||Y|5803
SIGN|S|24-MAR-2015|CW20-5R-36|405788|36x36|36|36|1296|BLK/OR|CNSTRC|RIGHT LANE CLOSED AHEAD||Y|5788
SIGN|S|24-MAR-2015|CW21-7-36|405795|36x36|36|36|1296|BLK/OR|CNSTRC|ABRUPT EDGE||Y|5795
SIGN|S|24-MAR-2015|CW4-2L-36|405628|36x36|36|36|1296|BLK/OR|CNSTRC|LEFT LANE ENDS (SYMBOL)||Y|5628
SIGN|S|24-MAR-2015|CW4-2R-36|405628|36x36|36|36|1296|BLK/OR|CNSTRC|LEFT LANE ENDS (SYMBOL)||Y|5628
SIGN|S|24-MAR-2015|CW8-13-48|405685|48x48|48|48|2304|BLK/OR|CNSTRC|GROOVED PAVEMENT||Y|5685
SIGN|S|24-MAR-2015|CW8-7-36|405659|36x36|36|36|1296|BLK/OR|CNSTRC|LOOSE GRAVEL||Y|5659
SIGN|S|24-MAR-2015|D11-1-18|405001|24x18|24|18|432|SIL/GRN|GUIDE|BIKE ROUTE||Y|5001
SIGN|S|24-MAR-2015|D11-1-24|D11-1|30x24|30|24|720|SIL/GRN|GUIDE|BIKE ROUTE||Y|
SIGN|S|24-MAR-2015|D12-1-48|D12-1|48x48|48|48|2304|SIL/BLU|SRVC|WEATHER INFO TUNE RADIO TO XX||Y|
SIGN|S|24-MAR-2015|D12-2-42|D12-2|54x42|54|42|2268|SIL/BLU|SRVC|CAR POOL INFO CALL XXX-XXXX||Y|
SIGN|S|24-MAR-2015|D12-5-48|D12-5|42x48|42|48|2016|SIL/BLU|SRVC|TRAVEL INFO CALL 511||Y|
SIGN|S|24-MAR-2015|D4-1-24|D4-1|30x24|30|24|720|GRN/SIL|PRMSV|PARKING W/ R DIAG ARROW||Y|
SIGN|S|24-MAR-2015|D4-2-36|D4-2|30x36|30|36|1080|SIL/GRN|GUIDE|PARK AND RIDE W/ ARROW AND SYMBOL||Y|
SIGN|S|24-MAR-2015|D-424-36|D-424|48x36|48|36|1728|SIL/BRN|HIST|HISTORICAL MARKER AHEAD||Y|
SIGN|S|24-MAR-2015|D-424a-36|D-424a|48x36|48|36|1728|SIL/BRN|HIST|GEOLOGICAL MARKER AHEAD||Y|
SIGN|S|24-MAR-2015|D-434-18|405079|16x18|16|18|288|BLK/BLU/GRN/SIL|RTE|OREGON STATE PARKS SHIELD||Y|5079
SIGN|S|24-MAR-2015|D-434-36|405067|33x36|33|36|1188|BLK/BLU/GRN/SIL|RTE|OREGON STATE PARKS SHIELD||Y|5067
SIGN|S|24-MAR-2015|D445-36|D445|60x36|60|36|2160|SIL/GRN|GUIDE|LIGHTS ON FOR SAFETY||Y|
SIGN|S|24-MAR-2015|D447-36|D447|96x36|96|36|3456|SIL/GRN|GUIDE|SAFETY CORRIDOR NEXT XX MILES||Y|
SIGN|S|24-MAR-2015|D-480-78|D-480|42x78|42|78|3276|BLK/SIL/BLU/SIL|RTE|ENTERING OREGON SCENIC BYWAY W/ LOGO||Y|
SIGN|S|24-MAR-2015|D-481-78|D-481|42x78|42|78|3276|BLK/SIL/BLU/SIL|RTE|LEAVING OREGON SCENIC BYWAY W/ LOGO||Y|
SIGN|S|24-MAR-2015|D-482-66|D-482|36x66|36|66|2376|BLK/SIL/BLU/SIL|RTE|OREGON SCENIC BYWAY W/ LOGO||Y|
SIGN|S|24-MAR-2015|D-483-72|D-483|36x72|36|72|2592|BLK/SIL/BLU/SIL|RTE|OREGON SCENIC BYWAY W/ LOGO AND DBL ARROW||Y|
SIGN|S|24-MAR-2015|D-484-54|D-484|30x54|30|54|1620|PLUM/SIL|RTE|ENTERING OREGON TOUR ROUTE||Y|
SIGN|S|24-MAR-2015|D5-1-30|D5-1|96x53|96|53|5088|SIL/BLU|SRVC|REST AREA 1 MILE||Y|
SIGN|S|24-MAR-2015|D5-1-53|D5-1|96x53|96|53|5088|SIL/BLU|SRVC|REST AREA 1 MILE||Y|
SIGN|S|24-MAR-2015|D5-1a-60|D5-1a|120x60|120|60|7200|SIL/BLU|SRVC|REST AREA X MILES||Y|
SIGN|S|24-MAR-2015|D5-1b-60|D5-1b|144x60|144|60|8640|SIL/BLU|SRVC|REST AREA NEXT RIGHT||Y|
SIGN|S|24-MAR-2015|D5-2a-60|D5-2a|120x60|120|60|7200|SIL/BLU|SRVC|REST AREA W/ R DIAG ARROW||Y|
SIGN|S|24-MAR-2015|D5-2b-78|D5-2b|78x78|78|78|6084|SIL/BLU|SRVC|REST AREA W/ R DIAG ARROW||Y|
SIGN|S|24-MAR-2015|D5-5a-24|D5-5a|24x24|24|24|576|SIL/BLU|SRVC|ROADSIDE TABLE||Y|
SIGN|S|24-MAR-2015|D5-6-74|D5-6|92x74|92|74|6808|SIL/BLU|SRVC|REST AREA NEXT XX MILES||Y|
SIGN|S|24-MAR-2015|D6-4-24|D6-4|24x24|24|24|576|BLU/RED/SIL|RTE|AMERICA'S BYWAYS W/ LOGO||Y|
SIGN|S|24-MAR-2015|D6-4a-12|D6-4a|24x12|24|12|288|BLU/RED/SIL|RTE|AMERICA'S BYWAYS W/ LOGO||Y|
SIGN|S|24-MAR-2015|D8-1-60|D8-1|78x60|78|60|4680|SIL/GRN|GUIDE|WEIGH STATION X/X X MILE||Y|
SIGN|S|24-MAR-2015|D8-2-54|D8-2|66x54|66|54|3564|SIL/GRN|GUIDE|WEIGH STATION NEXT RIGHT (OPEN) (CLOSED)||Y|
SIGN|S|24-MAR-2015|D8-2-72|D8-2|84x72|84|72|6048|SIL/GRN|GUIDE|WEIGH STATION NEXT RIGHT (OPEN) (CLOSED)||Y|
SIGN|S|24-MAR-2015|D8-3-42|D8-3|48x42|48|42|2016|SIL/GRN|GUIDE|WEIGH STATION W/ R DIAG ARROW||Y|
SIGN|S|24-MAR-2015|D8-3-60|D8-3|66x60|66|60|3960|SIL/GRN|GUIDE|WEIGHT STATION W/ R DIAG ARROW||Y|
SIGN|S|24-MAR-2015|D9-12-24|405131|24x24|24|24|576|SIL/BLU|SRVC|RV SANITARY STATION (SYMBOL)||Y|5131
SIGN|S|24-MAR-2015|D9-1-24|D9-1|24x24|24|24|576|SIL/BLU|SRVC|TELEPHONE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|D9-1-30|D9-1|30x30|30|30|900|SIL/BLU|SRVC|TELEPHONE (SYMBOL)||Y|
SIGN|S|24-MAR-2015|D9-13a-12|D9-13a|24x12|24|12|288|SIL/BLU|SRVC|HOSPITAL||Y|
SIGN|S|24-MAR-2015|D9-13b-12|D9-13b|24x12|24|12|288|SIL/BLU|SRVC|AMBULANCE STATION||Y|
SIGN|S|24-MAR-2015|D9-14-15|D9-14|30x15|30|15|450|SIL/BLU|SRVC|POLICE||Y|
SIGN|S|24-MAR-2015|D9-1a-24|D9-1a|24x24|24|24|576|SIL/BLU|SRVC|TELEPHONE (SYMBOL) W/ ARROW||Y|
SIGN|S|24-MAR-2015|D9-1a-30|405039|24x30|24|30|720|SIL/BLU|SRVC|TELEPHONE (SYMBOL)||Y|5039
SIGN|S|24-MAR-2015|D9-1b-30|D9-1b|24x30|24|30|720|SIL/BLU|SRVC|TELEPHONE (SYMBOL) 1/4 MILE||Y|
SIGN|S|24-MAR-2015|D9-2-24|405040|24x24|24|24|576|SIL/BLU|SRVC|H - HOSPITAL (SYMBOL)||Y|5040
SIGN|S|24-MAR-2015|D9-2-30|D9-2|30x30|30|30|900|SIL/BLU|SRVC|H - HOSPITAL (SYMBOL)||Y|
SIGN|S|24-MAR-2015|D9-3-24|405042|24x24|24|24|576|SIL/BLU|SRVC|TENT CAMPING (SYMBOL)||Y|5042
SIGN|S|24-MAR-2015|D9-3-30|405042|30x30|30|30|900|SIL/BLU|SRVC|TENT CAMPING (SYMBOL)||Y|5042
SIGN|S|24-MAR-2015|D9-3a-24|405043|24x24|24|24|576|SIL/BLU|SRVC|TRAILER CAMPING||Y|5043
SIGN|S|24-MAR-2015|D9-6-24|405033|24x24|24|24|576|SIL/BLU|SRVC|HANDICAPPED ACCESSIBILITY (SYMBOL)||Y|5033
SIGN|S|24-MAR-2015|D9-6-30|405033|30x30|30|30|900|SIL/BLU|SRVC|HANDICAPPED ACCESSIBILITY (SYMBOL)||Y|5033
SIGN|S|24-MAR-2015|D9-7-24|D9-7|24x24|24|24|576|SIL/BLU|SRVC|GAS (SYMBOL)||Y|
SIGN|S|24-MAR-2015|D9-8-24|D9-8|24x24|24|24|576|SIL/BLU|SRVC|FOOD (SYMBOL)||Y|
SIGN|S|24-MAR-2015|D9-9-24|D9-9|24x24|24|24|576|SIL/BLU|SRVC|LODGING (SYMOL)||Y|
SIGN|S|24-MAR-2015|E1-5-24|E1-5|120x24|120|24|2880|SIL/BLU|SRVC|EXIT NUMBER (XXX) PLAQUE||Y|
SIGN|S|24-MAR-2015|E1-5a-24|E1-5a|132x24|132|24|3168|SIL/BLU|SRVC|EXIT NUMBER (XXXA) PLAQUE||Y|
SIGN|S|24-MAR-2015|E1-5ab-24|E1-5ab|174x24|174|24|4176|SIL/BLU|SRVC|EXIT NUMBER (XXXA-B) PLAQUE||Y|
SIGN|S|24-MAR-2015|E5-1-60|E5-1 |72x60|72|60|4320|SIL/GRN|GUIDE|EXIT GORE SIGN (NO NUMBER)||Y|
SIGN|S|24-MAR-2015|E5-1a-24|E5-1a|72x60|72|60|4320|SIL/GRN|GUIDE|EXIT GORE SIGN (WITH X NUMBER)||Y|
SIGN|S|24-MAR-2015|E5-1a-60|E5-1a|72x60|72|60|4320|SIL/GRN|GUIDE|EXIT GORE SIGN (WITH X NUMBER)||Y|
SIGN|S|24-MAR-2015|E5-1b-60|E5-1b|72x60|72|60|4320|SIL/GRN|GUIDE|EXIT GORE SIGN (WITH XX NUMBER)||Y|
SIGN|S|24-MAR-2015|E5-1c-60|E5-1c|90x60|90|60|5400|SIL/GRN|GUIDE|EXIT GORE SIGN (WITH XXX NUMBER)||Y|
SIGN|S|24-MAR-2015|E5-1d-60|E5-1d|108x60|108|60|6480|SIL/GRN|GUIDE|EXIT GORE SIGN (WITH XXXA NUMBER)||Y|
SIGN|S|24-MAR-2015|EM-1-24|EM-1m|24x24|24|24|576|BLK/BLU/SIL|RTE|HURRICANE EVACUATION ROUTE W/ ARROW||Y|
SIGN|S|24-MAR-2015|EM-1m-24|EM-1m|24x24|24|24|576|BLK/BLU/SIL|RTE|HURRICANE EVACUATION ROUTE W/ ARROW||Y|
SIGN|S|24-MAR-2015|FOD8-1-12-24|405080|36x24|36|24|864|SIL/GRN|GUIDE|OPEN/CLOSED (SCALEHOUSE)||Y|5080
SIGN|S|24-MAR-2015|FOD8-1-24|405080|36x24|36|24|864|SIL/GRN|GUIDE|OPEN/CLOSED (SCALEHOUSE)||Y|5080
SIGN|S|24-MAR-2015|FOR15-3-18|405126|48x18|48|18|864|BLK/SIL|REGLTY|CARRY TT OR D/TT OR D REQUIRED||Y|5126
SIGN|S|24-MAR-2015|FOR15-4-18|405127|48x18|48|18|864|BLK/SIL|REGLTY|TRACTION DEVICES REQUIRED||Y|5127
SIGN|S|24-MAR-2015|FOW10-1-30|FOW10-1|36x30|36|30|1080|BLK/YLW|WRN|NEXT______ MILE(S)||Y|
SIGN|S|24-MAR-2015|FOW15-1-18|405081|48x18|48|18|864|BLK/YLW|WRN|TRACTION DEVICES REQUIRED||Y|5081
SIGN|S|24-MAR-2015|FOW15-2-18|405082|48x18|48|18|864|BLK/YLW|WRN|CARRY TT/D OR TT/D REQUIRED||Y|5082
SIGN|S|24-MAR-2015|I-12-24|I-12|24x24|24|24|576|SIL/GRN|GUIDE|LIGHT RAIL STATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|I4-1-24|405095|24x24|24|24|576|SIL/GRN|GUIDE|TRAIL (SYMBOL)||Y|5095
SIGN|S|24-MAR-2015|I-5-24|I-5|24x24|24|24|576|SIL/GRN|GUIDE|AIRPORT (SYMBOL)||Y|
SIGN|S|24-MAR-2015|I-5-30|405059|30x30|30|30|900|SIL/GRN|GUIDE|AIRPORT (SYMBOL)||Y|5059
SIGN|S|24-MAR-2015|I-6-24|405054|24x24|24|24|576|SIL/GRN|GUIDE|BUS (SYMBOL)||Y|5054
SIGN|S|24-MAR-2015|I-6a-6p|405055|24x6|24|6|144|SIL/GRN|GUIDE|BUS STOP||Y|5055
SIGN|S|24-MAR-2015|I-6b-6p|405056|24x6|24|6|144|SIL/GRN|GUIDE|BUS STATION||Y|5056
SIGN|S|24-MAR-2015|I-6c-6p|405057|24x6|24|6|144|SIL/GRN|GUIDE|GREYHOUND||Y|5057
SIGN|S|24-MAR-2015|I-7-24|I-7|24x24|24|24|576|SIL/GRN|GUIDE|TRAIN STATION (SYMBOL)||Y|
SIGN|S|24-MAR-2015|I-7-30|405053|30x30|30|30|900|SIL/GRN|GUIDE|AMTRAK STATION (SYMBOL)||Y|5053
SIGN|S|24-MAR-2015|I-7-6p|405052|24x6|24|6|144|SIL/GRN|GUIDE|AMTRAK STATION||Y|5052
SIGN|S|24-MAR-2015|I-8-24|I-8|24x24|24|24|576|SIL/GRN|GUIDE|LIBRARY (SYMBOL)||Y|
SIGN|S|24-MAR-2015|I-8p-12|I-8p|24x12|24|12|288|SIL/GRN|GUIDE|LIBRARY||Y|
SIGN|S|24-MAR-2015|IM2-1-15|405210|21x15|21|15|315|SIL/BLU|RTE|JCT (INTERSTATE)||Y|5210
SIGN|S|24-MAR-2015|IM3-1-12|405211|24x12|24|12|288|SIL/BLU|RTE|NORTH (INTERSTATE)||Y|5211
SIGN|S|24-MAR-2015|IM3-1-15|405212|30x15|30|15|450|SIL/BLU|RTE|NORTH (INTERSTATE)||Y|5212
SIGN|S|24-MAR-2015|IM3-2-12|405213|24x12|24|12|288|SIL/BLU|RTE|EAST (INTERSTATE)||Y|5213
SIGN|S|24-MAR-2015|IM3-2-15|405214|30x15|30|15|450|SIL/BLU|RTE|EAST (INTERSTATE)||Y|5214
SIGN|S|24-MAR-2015|IM3-3-12|405215|24x12|24|12|288|SIL/BLU|RTE|SOUTH (INTERSTATE)||Y|5215
SIGN|S|24-MAR-2015|IM3-3-15|405216|30x15|30|15|450|SIL/BLU|RTE|SOUTH (INTERSTATE)||Y|5216
SIGN|S|24-MAR-2015|IM3-4-12|405217|24x12|24|12|288|SIL/BLU|RTE|WEST (INTERSTATE)||Y|5217
SIGN|S|24-MAR-2015|IM3-4-15|405218|30x15|30|15|450|SIL/BLU|RTE|WEST (INTERSTATE)||Y|5218
SIGN|S|24-MAR-2015|IM4-5-12|405219|24x12|24|12|288|SIL/BLU|RTE|TO (INTERSTATE)||Y|5219
SIGN|S|24-MAR-2015|IM5-1L-15|405220|21x15|21|15|315|SIL/BLU|RTE|ADVANCE TURN ARROW LEFT (INTERSTATE)||Y|5220
SIGN|S|24-MAR-2015|IM5-1R-15|405221|21x15|21|15|315|SIL/BLU|RTE|ADVANCE TURN ARROW RIGHT (INTERSTATE)||Y|5221
SIGN|S|24-MAR-2015|IM5-2L-15|405222|21x15|21|15|315|SIL/BLU|RTE|ADVANCE CURVE ARROW LEFT (INTERSTATE)||Y|5222
SIGN|S|24-MAR-2015|IM5-2R-15|405223|21x15|21|15|315|SIL/BLU|RTE|ADVANCE CURVE ARROW RIGHT (INTERSTATE)||Y|5223
SIGN|S|24-MAR-2015|IM6-1-12|IM6-1|21x12|21|12|252|BLU/SIL|RTE|ARROW- HORIZONTAL (INTERSTATE)||Y|
SIGN|S|24-MAR-2015|IM6-1-15|405224|21x15|21|15|315|SIL/BLU|RTE|ARROW- HORIZONTAL (INTERSTATE)||Y|5224
SIGN|S|24-MAR-2015|IM6-2L-15|405225|21x15|21|15|315|SIL/BLU|RTE|ARROW- LEFT 45 DEGREE (INTERSTATE)||Y|5225
SIGN|S|24-MAR-2015|IM6-2R-15|405226|21x15|21|15|315|SIL/BLU|RTE|ARROW- RIGHT 45 DEGREE (INTERSTATE)||Y|5226
SIGN|S|24-MAR-2015|M1-1-205-30|M1-1|30x24|30|24|720|SIL/BLU/RED|RTE|I-205 ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-1-24|408019|30|30|24|720|SIL/BLU/RED|RTE|I-5 ROUTE SHIELD||Y|8019
SIGN|S|24-MAR-2015|M1-1-5-24|408019|24x24|24|24|576|SIL/BLU/RED|RTE|I-5 ROUTE SHIELD||Y|8019
SIGN|S|24-MAR-2015|M1-1-5-36|408020|36x36|36|36|1296|SIL/BLU/RED|RTE|I-5 ROUTE SHIELD||Y|8020
SIGN|S|24-MAR-2015|M1-1-82-24|M1-1|24x24|24|24|576|SIL/BLU/RED|RTE|I-82 ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-1-82-36|M1-1|36x36|36|36|1296|SIL/BLU/RED|RTE|I-82 ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-1-84-24|408021|24x24|24|24|576|SIL/BLU/RED|RTE|I-84 ROUTE SHIELD||Y|8021
SIGN|S|24-MAR-2015|M1-1-84-36|408022|36x36|36|36|1296|SIL/BLU/RED|RTE|I-84 ROUTE SHIELD||Y|8022
SIGN|S|24-MAR-2015|M1-4-24|408032|24x24|24|24|576|BLK/SIL|RTE|US HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|8032
SIGN|S|24-MAR-2015|M1-4-24-3|M1-4-3|30x24|30|24|720|BLK/SIL|RTE|US HWY. ROUTE SHIELD (3-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-4-30|M1-4|30x30|30|30|900|BLK/SIL|RTE|US HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-4-36|M1-4|36x36|36|36|1296|BLK/SIL|RTE|US HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-4-ROUTE-30|M1-4|30x30|30|30|900|BLK/SIL|MRK ST|US RTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-5-18|M1-5|18x18|18|18|324|SIL/BLK|RTE|OREGON HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-5-24|408034|24x24|24|24|576|SIL/BLK|RTE|OREGON HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|8034
SIGN|S|24-MAR-2015|M1-5-24-3|M1-5-3|30x24|30|24|720|BLK/SIL|RTE|OREGON HWY. ROUTE SHIELD (3-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-5-30-3|M1-5|30x30|30|30|900|BLK/SIL|RTE|OREGON HWY. ROUTE SHIELD (3-DIGIT)||Y|
SIGN|S|24-MAR-2015|M1-5-36|408035|36x36|36|36|1296|BLK/SIL|RTE|OREGON HWY. ROUTE SHIELD (1- OR 2-DIGIT)||Y|8035
SIGN|S|24-MAR-2015|M1-6-24|M1-6|24x24|24|24|576|YLW/BLU|RTE|COUNTY ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-6-30|M1-6|30x30|30|30|900|YLW/BLU|RTE|COUNTY ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-6-36|M1-6|36x36|36|36|1296|YLW/BLU|RTE|COUNTY ROUTE SHIELD||Y|
SIGN|S|24-MAR-2015|M1-7-24|M1-7|24x24|24|24|576|SIL/BRN|RTE|FOREST ROUTE SYMBOL||Y|
SIGN|S|24-MAR-2015|M1-ROUTE-30|9900|30x30|30|30|900|BLK/SIL|MRK ST|STATE RTE SHIELD||Y|
SIGN|S|24-MAR-2015|M2-1-15|405250|21x15|21|15|315|BLK/SIL|RTE|JCT||Y|5250
SIGN|S|24-MAR-2015|M3-1-12|405251|24x12|24|12|288|BLK/SIL|RTE|NORTH||Y|5251
SIGN|S|24-MAR-2015|M3-1-15|405252|30x15|30|15|450|BLK/SIL|RTE|NORTH||Y|5252
SIGN|S|24-MAR-2015|M3-2-12|405253|24x12|24|12|288|BLK/SIL|RTE|EAST||Y|5253
SIGN|S|24-MAR-2015|M3-2-15|405254|30x15|30|15|450|BLK/SIL|RTE|EAST||Y|5254
SIGN|S|24-MAR-2015|M3-3-12|405255|24x12|24|12|288|BLK/SIL|RTE|SOUTH||Y|5255
SIGN|S|24-MAR-2015|M3-3-15|405256|30x15|30|15|450|BLK/SIL|RTE|SOUTH||Y|5256
SIGN|S|24-MAR-2015|M3-4-12|405257|24x12|24|12|288|BLK/SIL|RTE|WEST||Y|5257
SIGN|S|24-MAR-2015|M3-4-15|405258|30x15|30|15|450|BLK/SIL|RTE|WEST||Y|5258
SIGN|S|24-MAR-2015|M4-10R-18|405266|48x18|48|18|864|BLK/OR|CNSTRC|DETOUR WITHIN THE RIGHT ARROW||Y|5266
SIGN|S|24-MAR-2015|M4-11-6|M4-11|24x6|24|6|144|SIL/GRN|GUIDE|BEGIN||Y|
SIGN|S|24-MAR-2015|M4-12-6|M4-12|24x6|24|6|144|SIL/GRN|GUIDE|END||Y|
SIGN|S|24-MAR-2015|M4-13-6|M4-13|24x6|24|6|144|SIL/GRN|GUIDE|TO||Y|
SIGN|S|24-MAR-2015|M4-2-12|405259|24x12|24|12|288|BLK/SIL|RTE|BY-PASS||Y|5259
SIGN|S|24-MAR-2015|M4-3-12|405260|24x12|24|12|288|BLK/SIL|RTE|BUSINESS||Y|5260
SIGN|S|24-MAR-2015|M4-4-12|M4-4|24x12|24|12|288|BLK/SIL|RTE|TRUCK||Y|
SIGN|S|24-MAR-2015|M4-5-12|405261|24x12|24|12|288|BLK/SIL|RTE|TO||Y|5261
SIGN|S|24-MAR-2015|M4-6-12|408039|24x12|24|12|288|BLK/SIL|RTE|END||Y|8039
SIGN|S|24-MAR-2015|M5-1L-15|405267|21x15|21|15|315|BLK/SIL|RTE|ADVANCE TURN ARROW LEFT||Y|5267
SIGN|S|24-MAR-2015|M5-1R-15|405268|21x15|21|15|315|BLK/SIL|RTE|ADVANCE TURN ARROW RIGHT||Y|5268
SIGN|S|24-MAR-2015|M5-2L-15|405269|21x15|21|15|315|BLK/SIL|RTE|ADVANCE CURVE ARROW LEFT||Y|5269
SIGN|S|24-MAR-2015|M5-2R-15|405270|21x15|21|15|315|BLK/SIL|RTE|ADVANCE CURVE ARROW RIGHT||Y|5270
SIGN|S|24-MAR-2015|M6-1-12|405271|18x12|18|12|216|BLK/SIL|RTE|ARROW- HORIZONTAL||Y|5271
SIGN|S|24-MAR-2015|M6-1-15|405272|21x15|21|15|315|BLK/SIL|RTE|ARROW- HORIZONTAL||Y|5272
SIGN|S|24-MAR-2015|M6-1L|9900|21x15|21|15|315|BLK/SIL|GUIDE|LEFT ARROW||Y|
SIGN|S|24-MAR-2015|M6-2L-15|405273|21x15|21|15|315|BLK/SIL|RTE|ARROW- LEFT 45 DEGREE||Y|5273
SIGN|S|24-MAR-2015|M6-2R-15|405274|21x15|21|15|315|BLK/SIL|RTE|ARROW- RIGHT 45 DEGREE||Y|5274
SIGN|S|24-MAR-2015|M6-3-15|405275|21x15|21|15|315|BLK/SIL|RTE|ARROW- VERTICAL||Y|5275
SIGN|S|24-MAR-2015|M6-4-12|405276|18x12|18|12|216|BLK/SIL|RTE|ARROW- DOUBLE||Y|5276
SIGN|S|24-MAR-2015|M6-4-15|405277|21x15|21|15|315|BLK/SIL|RTE|ARROW- DOUBLE||Y|5277
SIGN|S|24-MAR-2015|M6-5-15|M6-5|21x15|21|15|315|BLK/SIL|RTE|ARROW- DOUBLE DIAGONAL||Y|
SIGN|S|24-MAR-2015|M6-6L-15|M6-6L|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-6R-15|M6-6R|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-7L-15|M6-7L|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-7R-15|M6-7R|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-8L-15|M6-8L|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-8R-15|M6-8R|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|M6-9-15|M6-9|21x15|21|15|315|BLK/SIL|RTE|ARROW- DUAL DIRECTION||Y|
SIGN|S|24-MAR-2015|O15-1-30|405097|24x30|24|30|720|BRN/SIL|RTE|LEWIS AND CLARK TRAIL||Y|5097
SIGN|S|24-MAR-2015|OBD11-2-18|OBD11-2|24x18|24|18|432|SIL/GRN|GUIDE|OREGON BIKE CENTENNIAL ROUTE||Y|
